Product Name,Price,Rating,Product Link,Brand,Category,Discount,Reviews Count,Availability
HP Victus AI AMD Ryzen 7 Octa Core 260 - (24 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce ...,"₹1,14,990",4.2,https://www.flipkart.com/hp-victus-ai-amd-ryzen-7-octa-core-260-24-gb-1-tb-ssd-windows-11-home-8-gb-graphics-nvidia-geforce-rtx-5050-15-fb3185ax-gaming-laptop/p/itm08bbf58218363?pid=COMHDZVEE22P67WR&lid=LSTCOMHDZVEE22P67WR32U1SH&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_11&otracker=search&fm=organic&iid=en_4dW0Y4ACNAPLlMMSsdpv9a82UiLDjySSRWvuZFhwR2fYKXS0o0o-sDI4wmLWYz_NoKqEIOB5Fn63bx5CV5vKdIDqFbvcEMaEaUOzrWdSCDNaxhAfWFBjhcSd4ZBeVFyL&ppt=None&ppn=None&ssid=glhltqh9ow0000001781413756905&qH=312f91285e048e09&ov_redirect=true,HP,laptop,35,626,In Stock
ASUS Chromebook CX15 Intel Celeron Dual Core N50 - (4 GB/128 GB EMMC Storage/Chrome OS) CX1505CTA-S702...,"₹21,990",4.4,https://www.flipkart.com/asus-chromebook-cx15-intel-celeron-dual-core-n50-4-gb-128-gb-emmc-storage-chrome-os-cx1505cta-s70257-laptop/p/itm4119a57f911bf?pid=COMHKQA34NZEYCRY&lid=LSTCOMHKQA34NZEYCRYGZAOYM&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_12&otracker=search&fm=organic&iid=en_4dW0Y4ACNAPLlMMSsdpv9a82UiLDjySSRWvuZFhwR2fakcF2p88NBxHrqmgVovkwj_dWuH5fAyvbaAUmiClbWrmmYr7nTgT-bw3MM2rod71ITAloHVn-YZsVpYywg9I2&ppt=None&ppn=None&ssid=glhltqh9ow0000001781413756905&qH=312f91285e048e09&ov_redirect=true,ASUS,laptop,36,2802,In Stock
Acer Aspire 3 Intel Pentium Quad Core N6000 - (12 GB/512 GB SSD/Windows 11 Home) A325-45 Thin and Ligh...,"₹43,990",4.9,https://www.flipkart.com/acer-aspire-3-intel-pentium-quad-core-n6000-12-gb-512-gb-ssd-windows-11-home-a325-45-thin-light-laptop/p/itm9ca67a1a3ea22?pid=COMH59ENQYHDYJGX&lid=LSTCOMH59ENQYHDYJGX9DSB95&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_13&otracker=search&fm=organic&iid=5cdc26ed-e143-4583-854d-06be217a96be.COMH59ENQYHDYJGX.SEARCH&ppt=None&ppn=None&ssid=glhltqh9ow0000001781413756905&qH=312f91285e048e09&ov_redirect=true,Acer,laptop,19,2979,In Stock
ASUS ROG Zephyrus G16 OLED (2026) Intel Core Ultra 9 386H - (32 GB/2 TB SSD/Windows 11 Home/12 GB Grap...,"₹4,59,990",4.9,https://www.flipkart.com/asus-rog-zephyrus-g16-oled-2026-intel-core-ultra-9-386h-32-gb-2-tb-ssd-windows-11-home-12-gb-graphics-nvidia-geforce-rtx-5070-ti-240-hz-gu606ar-tb039ws-gaming-laptop/p/itmdee0c1001d6a1?pid=COMHNHH8FBHVAY2N&lid=LSTCOMHNHH8FBHVAY2NVLQNF7&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_14&otracker=search&fm=organic&iid=5cdc26ed-e143-4583-854d-06be217a96be.COMHNHH8FBHVAY2N.SEARCH&ppt=None&ppn=None&ssid=glhltqh9ow0000001781413756905&qH=312f91285e048e09&ov_redirect=true,ASUS,laptop,47,932,In Stock
Lenovo IdeaPad Slim 3 Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) IdeaPad Slim 3 ...,"₹48,490",4.7,https://www.flipkart.com/lenovo-ideapad-slim-3-intel-core-i3-13th-gen-1315u-8-gb-512-gb-ssd-windows-11-home-15iru8-thin-light-laptop/p/itmc6707c8d4b21b?pid=COMHFMPWQSGRSZ9T&lid=LSTCOMHFMPWQSGRSZ9TJLX84U&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_15&otracker=search&fm=organic&iid=5cdc26ed-e143-4583-854d-06be217a96be.COMHFMPWQSGRSZ9T.SEARCH&ppt=None&ppn=None&ssid=glhltqh9ow0000001781413756905&qH=312f91285e048e09&ov_redirect=true,Lenovo,laptop,47,4082,In Stock
"ASUS Vivobook 14 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Intel Core Ultra 5 225H - (1...","₹66,990",4.4,https://www.flipkart.com/asus-vivobook-14-2025-office-2024-m365-basic-backlit-keyboard-intel-core-ultra-5-225h-16-gb-512-gb-ssd-windows-11-home-x1407ca-ly159ws-thin-light-laptop/p/itm88707104a2719?pid=COMHCQ5EYSZXV4AN&lid=LSTCOMHCQ5EYSZXV4ANXQSULY&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_16&otracker=search&fm=organic&iid=5cdc26ed-e143-4583-854d-06be217a96be.COMHCQ5EYSZXV4AN.SEARCH&ppt=None&ppn=None&ssid=glhltqh9ow0000001781413756905&qH=312f91285e048e09&ov_redirect=true,ASUS,laptop,9,1724,In Stock
Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520 - (4 GB/32 GB EMMC Storage/Chrome OS) 100e Chromebo...,"₹16,298",4.8,https://www.flipkart.com/lenovo-100e-chromebook-gen-4-mediatek-kompanio-520-4-gb-32-gb-emmc-storage-chrome-os/p/itm041aea27f1885?pid=COMHA9FK8YXVUUWA&lid=LSTCOMHA9FK8YXVUUWAAREQMZ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_17&otracker=search&fm=organic&iid=en_4dW0Y4ACNAPLlMMSsdpv9a82UiLDjySSRWvuZFhwR2fQPlOfOW1xvK43z2jUJYBAB7ilja_cnJ6G1eLhA7o74BbgabVs1FganRuyZOuFMgkSoGoUr1WA-afGb88ucdZB9QWMJPI4egdmz5nn89L_DQ%3D%3D&ppt=None&ppn=None&ssid=glhltqh9ow0000001781413756905&qH=312f91285e048e09&ov_redirect=true,Lenovo,laptop,46,3718,In Stock
Lenovo IdeaPad Slim 3 Next Gen AI PC WUXGA IPS Copilot + PC with 1Yr ADP Snapdragon X - (16 GB/512 GB ...,"₹59,990",4.2,https://www.flipkart.com/lenovo-ideapad-slim-3-next-gen-ai-pc-wuxga-ips-copilot-1yr-adp-snapdragon-x-16-gb-512-gb-ssd-windows-11-home-15q8x10-thin-light-laptop/p/itmd6d920cf123c3?pid=COMHDMJYDGBTMJXG&lid=LSTCOMHDMJYDGBTMJXG112MJM&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_18&otracker=search&fm=organic&iid=en_4dW0Y4ACNAPLlMMSsdpv9a82UiLDjySSRWvuZFhwR2fskd3r4wEF2oCM5gcKtPinH2hKRYAtys5YmuqMbmQpWY0LrLmlTzZ0U8HhE0EHQYKNH5kjUVCCjPjKtLbJRS4X&ppt=None&ppn=None&ssid=glhltqh9ow0000001781413756905&qH=312f91285e048e09&ov_redirect=true,Lenovo,laptop,42,183,In Stock
Acer Aspire 3 Backlit AMD Ryzen 7 Octa Core 7730U - (16 GB/512 GB SSD/Windows 11 Home) Aspire AS15 - 4...,"₹54,990",4.2,https://www.flipkart.com/acer-aspire-3-backlit-amd-ryzen-7-octa-core-7730u-16-gb-512-gb-ssd-windows-11-home-as15-42-thin-light-laptop/p/itmdaf15e01a1d1a?pid=COMH397XPF4Z3BMX&lid=LSTCOMH397XPF4Z3BMXL8O53G&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_19&otracker=search&fm=organic&iid=5cdc26ed-e143-4583-854d-06be217a96be.COMH397XPF4Z3BMX.SEARCH&ppt=None&ppn=None&ssid=glhltqh9ow0000001781413756905&qH=312f91285e048e09&ov_redirect=true,Acer,laptop,29,1251,In Stock
HP 15 Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) 15-fd0576TU / 15-fd0467TU Thin...,"₹58,990",4.5,https://www.flipkart.com/hp-15-intel-core-i5-13th-gen-1335u-16-gb-512-gb-ssd-windows-11-home-15-fd0576tu-15-fd0467tu-thin-light-laptop/p/itm3d552029526ba?pid=COMH8QXWHJRQKR6P&lid=LSTCOMH8QXWHJRQKR6PW3FWJH&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_20&otracker=search&fm=organic&iid=5cdc26ed-e143-4583-854d-06be217a96be.COMH8QXWHJRQKR6P.SEARCH&ppt=None&ppn=None&ssid=glhltqh9ow0000001781413756905&qH=312f91285e048e09&ov_redirect=true,HP,laptop,26,3602,In Stock
